Building Name,Address
Rhines Hall,"549, Gale Lemerand Drive, Gainesville, FL, 32611"
Diamond Commons,"1402, Diamond Road, Gainesville, FL, 32612"
Beaty Tower A,"1407, Museum Road, Gainesville, FL, 32612"
UF Housing & Residence Education Office,"1304, Diamond Road, Gainesville, FL, 32612"
Beaty Service Building F,"1308, Diamond Road, Gainesville, FL, 32612"
Matherly Hall,"1405, West University Avenue, Gainesville, FL, 32611"
Smathers Library,"1508, Union Road, Gainesville, FL, 32611"
Pugh Hall,"296, Buckman Drive, Gainesville, FL, 32611"
University Auditorium,"333, Newell Drive, Gainesville, FL, 32611"
Bryan Hall,"1384, Union Road, Gainesville, FL, 32611"
Walker Hall,"1489, Union Road, Gainesville, FL, 32611"
Gerson Hall,"1368, Union Road, Gainesville, FL, 32611"
Student Infirmary,"280, Fletcher Drive, Gainesville, FL, 32611"
Hough Hall,"1404, Union Road, Gainesville, FL, 32611"
Tigert Hall,"300, Southwest 13th Street, Gainesville, FL, 32611"
Griffin-Floyd Hall,"230, Newell Drive, Gainesville, FL, 32611"
Sisler Hall,"1680, Union Road, Gainesville, FL, 32611"
Keene-Flint Hall,"80, Newell Drive, Gainesville, FL, 32611"
Farrior Hall,"205, Fletcher Drive, Gainesville, FL, 32611"
Little Hall,"1400, Stadium Road, Gainesville, FL, 32611"
Anderson Hall,"1507, West University Avenue, Gainesville, FL, 32611"
Dickinson Hall,"1659, Museum Road, Gainesville, FL, 32611"
Chemical Engineering Building,"1006, Center Drive, Gainesville, FL, 32611"
Biomedical Sciences Building,"1275, Center Drive, Gainesville, FL, 32611"
Holland Hall,"309, Village Drive, Gainesville, FL, 32611"
Jennings Hall A,"1509, Museum Road, Gainesville, FL, 32612"
New Engineering Building,"1064, Center Drive, Gainesville, FL, 32611"
University of Florida Health Davis Cancer Pavilion,"1535, Gale Lemerand Drive, Gainesville, FL, 32611"
Environmental Health & Safety,"916, Newell Drive, Gainesville, FL, 32611"
HPNP Building,"1225, Center Drive, Gainesville, 32611"
Shepard Broad,"1300, Center Drive, Gainesville, FL, 32610"
Particle Science & Technology,"1180, Center Drive, Gainesville, FL, 32611"
Black Hall,"1128, Center Drive, Gainesville, FL, 32611"
Levin Advocacy Center,"411, Village Drive, Gainesville, FL, 32611"
Indoor Football Practice Facility,"2101, Southwest 2nd Avenue, Gainesville, FL, 32611"
Earl & Christy Powell University House,"2151, West University Avenue, Gainesville, FL, 32603"
Peabody Hall,"1500, Union Road, Gainesville, FL, 32611"
Criser Hall,"1478, Union Road, Gainesville, FL, 32611"
Parking Garage 7,"1910, Museum Road, Gainesville, FL, 32611"
ΘΧ,"10, Fraternity Row, Gainesville, FL, 32603"
Bat House,"Museum Road, Gainesville, FL, 32611"
ΑΕΠ,"14, Fraternity Row, Gainesville, FL, 32603"
Broward Dining Center,"596, Broward Drive, Gainesville, FL, 32611"
Steinbrenner Band Hall,"1556, Inner Road, Gainesville, FL, 32611"
Little Hall Express,"1456, Stadium Road, Gainesville, FL, 32611"
Holiday Inn Gainesville University Center,"1250, West University Avenue, Gainesville, 32601"
University of Florida Health Shands Cancer Hospital,"1515, Southwest Archer Road, Gainesville, 32608"
1329 Building UF Health,"1329, SW 16th Street, Gainesville, FL, 32610"
Emerson Alumni Hall,"1938, West University Avenue, Gainesville, FL, 32603"
105 Classroom Building,"105, Northwest 16th Street, Gainesville, FL, 32611"
ΠΛΦ,"15, Fraternity Row, Gainesville, FL, 32603"
Keys Residence House 3,"2209, Stadium Road, Gainesville, 32612"
ΣΝ,"21, West Fraternity Drive, Gainesville, FL, 32603"
Keys Commons,"2191, Stadium Road, Gainesville, 32612"
Keys Residence house 5,"2255, Stadium Road, Gainesville, 32612"
Keys Residence House 9,"2211, Stadium Road, Gainesville, 32612"
Keys Residence House 2,"2189, Stadium Road, Gainesville, 32612"
Keys Residence House 8,"2223, Stadium Road, Gainesville, 32612"
Keys Residence House 7,"2249, Stadium Road, Gainesville, 32612"
Keys Residence House 6,"2263, Stadium Road, Gainesville, 32612"
ΚΑ,"5A, Fraternity Row, Gainesville, FL, 32603"
Keys Residence House 10,"2263, Stadium Road, Gainesville, 32612"
Keys Residence House 4,"2237, Stadium Road, Gainesville, 32612"
Agricultural Engineering Building,"1505, Museum Drive, Gainesville, FL, 32611"
Fifield Hall,"2550, Hull Road, Gainesville, FL, 32611"
IFAS Facilities Office,"1390, Date Palm Drive, Gainesville, FL, 32611"
IFAS Headhouse,"2464, Hull Road, Gainesville, FL, 32611"
Agricultural Engineering Shop,"1505, Museum Drive, Gainesville, FL, 32611"
Agricultural Engineering Field Lab,"1505, Museum Drive, Gainesville, FL, 32611"
Microbiology/Cell Science Building,"1355, Museum Drive, Gainesville, FL, 32611"
Ornamental Horticulture Greenhouse,"2350, Mowry Road, Gainesville, FL, 32611"
Bio-Tech Lab,"2448, Hull Road, Gainesville, FL, 32611"
Weed Sciences Field Building,"1425, Museum Drive, Gainesville, FL, 32611"
Dauer Hall,"228, Buckman Drive, Gainesville, FL, 32612"
Chemistry Laboratory,"125, Buckman Drive, Gainesville, FL, 32611"
Jennings Hall Office,"1515, Museum Road, Gainesville, FL, 32612"
Beaty Commons,"1387, Museum Road, Gainesville, FL, 32612"
Beaty Creekside Apartments,"1411, Museum Road, Gainesville, FL, 32612"
Cypress Hall,"1310, Museum Road, Gainesville, FL, 32612"
UPD Centrex Building,"1577, Museum Road, Gainesville, FL, 32611"
Norman Garage,"625, SW 12th Street, Gainesville, FL, 32611"
Rawlings Plaza,"649, Newell Drive, Gainesville, FL, 32612"
Tropical Ecology & Conservation lab,"711, Newell Drive, Gainesville, FL, 32611"
McKnight Brain Institute,"1149, Newell Drive, Gainesville, FL, 32610"
Springs Common,"410, Fraternity Drive, Gainesville, FL, 32612"
Graham Area Office,"716, Gale Lemerand Drive, Gainesville, FL, 32611"
Pool Maintenance,"2096, Museum Road, Gainesville, FL, 32612"
University Womens Club,"324, Woodlawn Drive, Gainesville, FL, 32611"
Basketball Practice Complex,"290, Woodlawn Drive, Gainesville, FL, 32611"
Ring Varsity Tennis Building,"2351, Southwest 2nd Avenue, Gainesville, FL, 32611"
Corry Village Commons,"620, Corry Circle, Gainesville, FL, 32612"
Baby Gator,"793, Corry Circle, Gainesville, FL, 32612"
Thomas Hall,"133, Fletcher Drive, Gainesville, FL, 32612"
Sledd Hall,"191, Fletcher Drive, Gainesville, FL, 32612"
Fletcher Hall,"72, Buckman Drive, Gainesville, FL, 32612"
Buckman Hall,"132, Buckman Drive, Gainesville, FL, 32612"
Murphree Area Commons Building,"54, Buckman Drive, Gainesville, FL, 32612"
Food Science & Human Nutrition,"572, Newell Drive, Gainesville, 32611"
Aquatic Food Pilot Plant,"520, Newell Drive, Gainesville, FL, 32611"
IFAS Environmental Stress Lab,"1786, IFAS Research Drive, Gainesville, FL, 32611"
IFAS Fruit Packing Facility,"1786, IFAS Research Drive, Gainesville, FL, 32611"
Fruit Crops Pole Barn,"1786, IFAS Research Drive, Gainesville, FL, 32611"
IFAS Equipment Storage,"1786, IFAS Research Drive, Gainesville, FL, 32611"
The Church of Jesus Christ of Latter-day Saints,"1220, Southwest 5th Avenue, Gainesville, FL, 32601"
UF Health,"1600, SW Archer Road, Gainesville, FL, 32608"
Gator Beverage,"1126, West University Avenue, Gainesville, FL, 32601"
Modern Age,"1122, West University Avenue, Gainesville, FL, 32601"
Bank of America,"1116, West University Avenue, Gainesville, FL, 32601"
Chevron,"1024, West University Avenue, Gainesville, FL"
Varsity Tennis Building,"2363, Southwest 2nd Avenue, Gainesville, FL, 32611"
Guy Bostick Golf Clubhouse,"2801, Southwest 2nd Avenue, Gainesville, FL, 32611"
UF Emerging Pathogens Institute,"2055, Mowry Road, Gainesville, FL, 32610"
UF Cancer & Genetics Research Complex,"2033, Mowry Road, Gainesville, FL, 32610"
Health Science Center Modular Building,"2199, Mowry Road, Gainesville, FL, 32611"
UF Aquatic Pathobiology Lab,"2173, Mowry Road, Gainesville, FL, 32611"
UF Center for Environmental & Human Toxicology,"2187, Mowry Road, Gainesville, FL, 32611"
